Subset,Image,Model,CIEDE2000,Delta_uv_prime,Duv,EML,BlueEnergyPerPixel
screenshot,screenshot_18.png,pure_transform_2700k,18.9432,0.0880,0.0016,115.5767,15169.348079
screenshot,screenshot_1.png,compensation_once,22.5096,0.0849,-0.0034,108.3622,65917.474750
screenshot,screenshot_1.png,compensation_twice,22.3038,0.0805,-0.0018,109.4690,67932.944972
screenshot,screenshot_1.png,pure_transform_2700k,22.1636,0.0880,-0.0052,105.7874,65675.600010
screenshot,screenshot_2.png,compensation_once,14.2629,0.1035,-0.0037,103.5634,366.805291
screenshot,screenshot_2.png,compensation_twice,4.6926,0.0165,-0.0100,220.8163,1977.567178
screenshot,screenshot_2.png,pure_transform_2700k,14.3928,0.1062,0.0002,101.0127,472.920503
screenshot,screenshot_3.png,compensation_once,17.9505,0.0842,0.0073,115.0344,1047.210019
screenshot,screenshot_3.png,compensation_twice,8.5022,0.0292,0.0151,172.7348,3574.720002
screenshot,screenshot_3.png,pure_transform_2700k,16.0070,0.0927,-0.0012,111.2509,1224.442227
screenshot,screenshot_4.png,compensation_once,20.9444,0.1569,-0.0241,166.8900,1184.326269
screenshot,screenshot_4.png,compensation_twice,9.5614,0.0238,-0.0324,381.5874,6638.854321
screenshot,screenshot_4.png,pure_transform_2700k,18.1786,0.1464,-0.0249,178.1490,2395.557217
screenshot,screenshot_5.png,compensation_once,19.8445,0.1055,-0.0108,120.0329,17731.146730
screenshot,screenshot_5.png,compensation_twice,14.7407,0.0334,-0.0105,156.4187,33370.925209
screenshot,screenshot_5.png,pure_transform_2700k,20.9787,0.1110,-0.0049,110.8321,18715.841487
screenshot,screenshot_6.png,compensation_once,21.1741,0.0797,0.0206,144.5622,36358.126347
screenshot,screenshot_6.png,compensation_twice,20.4854,0.0681,0.0282,147.2216,41593.707458
screenshot,screenshot_6.png,pure_transform_2700k,20.8133,0.0781,0.0215,146.2540,35435.460067
screenshot,screenshot_7.png,compensation_once,22.8944,0.1086,-0.0046,121.8103,17899.695204
screenshot,screenshot_7.png,compensation_twice,18.4460,0.0660,0.0031,147.4924,30695.689664
screenshot,screenshot_7.png,pure_transform_2700k,21.8630,0.1074,-0.0048,123.2892,16607.223877
screenshot,screenshot_8.png,compensation_once,23.2272,0.0883,-0.0024,110.5606,67592.957383
screenshot,screenshot_8.png,compensation_twice,23.1843,0.0861,-0.0011,111.7073,69425.706395
screenshot,screenshot_8.png,pure_transform_2700k,23.1390,0.0918,-0.0041,107.7541,66593.352154
screenshot,screenshot_9.png,compensation_once,16.5709,0.0724,0.0012,99.6184,679.809021
screenshot,screenshot_9.png,compensation_twice,6.6744,0.0107,0.0017,209.4657,3785.566218
screenshot,screenshot_9.png,pure_transform_2700k,15.8467,0.0899,-0.0017,82.8582,777.326452
camera,camera_0.png,original,0,0,0,204.6659,92346.444293
camera,camera_10.png,original,0,0,0,192.3975,99926.380459
camera,camera_11.png,original,0,0,0,242.7762,97894.419587
camera,camera_12.png,original,0,0,0,239.8690,98377.337673
camera,camera_13.png,original,0,0,0,199.1164,90706.434217
camera,camera_14.png,original,0,0,0,180.9015,99511.808178
camera,camera_15.png,original,0,0,0,193.5253,90279.587527
camera,camera_16.png,original,0,0,0,223.9461,97928.090302
camera,camera_17.png,original,0,0,0,265.7876,152635.348407
camera,camera_18.png,original,0,0,0,169.0845,67639.640362
camera,camera_19.png,original,0,0,0,300.2512,153964.064700
camera,camera_1.png,original,0,0,0,204.1957,76588.123250
camera,camera_20.png,original,0,0,0,209.6527,77219.316473
camera,camera_21.png,original,0,0,0,198.2541,40366.883844
camera,camera_22.png,original,0,0,0,197.7923,44651.968948
camera,camera_23.png,original,0,0,0,202.3653,31163.142344
camera,camera_24.png,original,0,0,0,214.7969,90128.740076
camera,camera_25.png,original,0,0,0,203.9299,89318.579047
camera,camera_26.png,original,0,0,0,182.7686,54539.044415
camera,camera_27.png,original,0,0,0,174.5023,41382.487713
camera,camera_28.png,original,0,0,0,257.2747,113038.091333
camera,camera_29.png,original,0,0,0,188.9396,107336.972555
camera,camera_2.png,original,0,0,0,266.3285,185283.371742
camera,camera_30.png,original,0,0,0,259.4033,70001.646566
camera,camera_3.png,original,0,0,0,202.6456,107011.086815
camera,camera_4.png,original,0,0,0,222.7303,31132.917559
camera,camera_5.png,original,0,0,0,232.3753,172838.521090
camera,camera_6.png,original,0,0,0,235.1145,96557.963490
camera,camera_7.png,original,0,0,0,234.2045,130390.736692
camera,camera_8.png,original,0,0,0,186.8646,69033.459571
camera,camera_9.png,original,0,0,0,186.8511,71395.415449
